name,description,location,latitude,longitude,category,service_option1,service_option2
จ้าวภูพนม,,https://lh5.googleusercontent.com/p/AF1QipMiB_5E-U_K9sHOR42F0XVeFOYRWcPofCXH75l0=w80-h106-k-no,16.940428,104.7206475,·,·,Takeaway
แหนมใบมะยมแม่อรุณ,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gaOJkiRiNnGHx5IYxIqCMA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=181.80075&pitch=0&thumbfov=100,16.9399142,104.7288679,·,,
บ้านสวนวริศราฟิชชิ่งปาร์ค@คาเฟ่,5.0,https://lh5.googleusercontent.com/p/AF1QipPabjfmZPfeiu6udosInDe-972Sk5_oW7eOYjXH=w163-h92-k-no,16.9339839,104.6971134,·,·,Kerbside pickup
Karamae Thun Chai (Coconut Dodo),4.7,https://lh5.googleusercontent.com/p/AF1QipMypmhoxWJof9IHHXi3A3jJrpUbSH0KWL9lqhM0=w80-h142-k-no,16.9437116,104.7280106,·,,
ข้าวมันไก่ @ธาตุพนม,4.0,https://lh5.googleusercontent.com/p/AF1QipPwPid9HomuEcqvdxTnvvYo52OVYwTW796nB4Qf=w80-h106-k-no,16.9460023,104.7250451,·,·,Kerbside pickup
ส้มตำเจ้กูด,5.0,https://lh5.googleusercontent.com/p/AF1QipM3Sw1N4KAw16WCkmNWaW03CQ6bdz46Z-0Ccvtf=w80-h142-k-no,16.9430412,104.7276871,·,·,Takeaway
แหนมครูแบ่ง,5.0,https://lh5.googleusercontent.com/p/AF1QipPHFLt9t8z_HgzdexdwZjm8smtDmDugV5BNQ6ba=w199-h92-k-no,16.947037,104.72913,·,·,Takeaway
ร้านมุกดาหม฿กะทะ,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qpBghXTGcD5emObS63GGJw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=180.67152&pitch=0&thumbfov=100,16.937874,104.707871,·,,
Sirat Theppharot,4.8,https://lh5.googleusercontent.com/p/AF1QipN0sFr8P5zKuIxjoiUzTjdsqE2eI6mmclBT6Z87=w163-h92-k-no,16.9463041,104.7244073,·,·,Takeaway
กุ้งตะกร้าพารวย,5.0,https://lh5.googleusercontent.com/p/AF1QipOd7MM7kOEpKk1b6NfqNUQFjnT7gBiUlzD_PzQS=w80-h106-k-no,16.9566448,104.7244711,·,,
ลุงหมง ข้าวมันไก่,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8yPIs7EUfEuDz_L3LROmYQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=271.61288&pitch=0&thumbfov=100,16.935506,104.7278252,·,·,Takeaway
เติ้ล เติ้ล ปลาเผา,4.4,https://lh5.googleusercontent.com/p/AF1QipPorNzjgpmsmLpIwwQzLXJxb_3JexUVcsucF3-6=w80-h106-k-no,16.9458427,104.724796,·,·,Takeaway
ร้านอาหารตามสั่ง,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E3I3eUZqm8OHlxuu4GeZRg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=310.2461&pitch=0&thumbfov=100,16.9226081,104.6803294,·,,
เจ้เจี๊ยบก๋วยเตี๋ยวไก่มะระ,5.0,https://lh5.googleusercontent.com/p/AF1QipNb9f7nbjYq47_Zvaoi8v32sfM89a8wN8A5Rvsl=w80-h106-k-no,16.9423782,104.7206627,·,·,Takeaway
ร้านโรงชาธาตุพนม,4.5,https://lh5.googleusercontent.com/p/AF1QipPXPr-l4UFfIgUbSz9YrZDVnqu1uMrac7CcsqCd=w122-h92-k-no,16.9421798,104.72805,·,·,Takeaway
มุกดาหมูกะทะสาขา4,4.6,https://lh5.googleusercontent.com/p/AF1QipOwArSpymOgTwh_3sDRR6dzbh01uGuP7ESgaA0E=w80-h106-k-no,16.9480678,104.7212515,·,·,Takeaway
น้องแบม ข้าวปุ้นน้ำนัว,4.2,https://lh5.googleusercontent.com/p/AF1QipM66Yag8zsse-gdYD9RiuM1BjC2M2DC7QvJr5Bj=w122-h92-k-no,16.9236096,104.6811579,,·,Takeaway
แพแฮปปี้ ล่องแพฝั่งแดง หนองหวาย,3.0,https://lh5.googleusercontent.com/p/AF1QipP3-1_ErLaOw0ApdPbIr5BeY5ioQRbye5rhUAa4=w80-h106-k-no,16.9393432,104.6735023,·,·,Takeaway
